uniprot_id	ncbi_gene	gene_name	gene_description	gene_aliases	pmid	year	in_title	fraction_mentions	total_genes	journal	full_text	title
Q6RSH7	391104	VHLL	VHL like	VHLP, VLP	32723629	2020	False	0.6	2	Ticks Tick Borne Dis	True	Characterization of a Borrelia miyamotoi membrane antigen (BmaA) for serodiagnosis of Borrelia miyamotoi disease
Q6RSH7	391104	VHLL	VHL like	VHLP, VLP	28902847	2017	False	0.5625	2	PLoS Negl Trop Dis	True	First insights in the variability of Borrelia recurrentis genomes
Q6RSH7	391104	VHLL	VHL like	VHLP, VLP	34499646	2021	False	0.5	2	PLoS One	True	Experimental and theoretical study on the propagation characteristics of stress wave in filled jointed rock mass
Q6RSH7	391104	VHLL	VHL like	VHLP, VLP	30124426	2018	False	0.5	2	Emerg Infect Dis	True	Borrelia miyamotoi Disease in an Immunocompetent Patient, Western Europe
Q6RSH7	391104	VHLL	VHL like	VHLP, VLP	32606328	2020	False	0.5	5	Sci Rep	True	A novel Borrelia species, intermediate between Lyme disease and relapsing fever groups, in neotropical passerine-associated ticks
Q6RSH7	391104	VHLL	VHL like	VHLP, VLP	32778623	2020	False	0.4167	2	Acta Med Indones	False	The Role of Acute Hyperglycemia on the Risk of Malignant Arrhythmia in Acute Myocardial Infarction Patients: A Study of Myocardial Damage, Ion Channel Changes and Inflammatory Factors.
Q6RSH7	391104	VHLL	VHL like	VHLP, VLP	37363301	2023	False	0.3913	5	Sens Actuators B Chem	True	Dual-clamped one-pot SERS-based biosensors for rapid and sensitive detection of SARS-CoV-2 using portable Raman spectrometer
Q6RSH7	391104	VHLL	VHL like	VHLP, VLP	33299317	2020	False	0.3636	3	Ther Clin Risk Manag	True	Optimal Courses of Chemotherapy Combined with Radiotherapy for Low-Risk Extranodal Natural Killer/T-Cell Lymphoma, Nasal Type: A Propensity Score Matching Analysis
Q6RSH7	391104	VHLL	VHL like	VHLP, VLP	30560935	2018	False	0.3429	2	Nat Commun	True	Rational design of a triple-type human papillomavirus vaccine by compromising viral-type specificity
Q6RSH7	391104	VHLL	VHL like	VHLP, VLP	34827110	2021	False	0.3333	2	Biology (Basel)	True	Borreliae Part 2: Borrelia Relapsing Fever Group and Unclassified Borrelia
Q6RSH7	391104	VHLL	VHL like	VHLP, VLP	28922413	2017	False	0.3171	23	PLoS One	True	Exploitation of stable nanostructures based on the mouse polyomavirus for development of a recombinant vaccine against porcine circovirus 2
Q5T0U0	160857	CCDC122	coiled-coil domain containing 122		26235265	2016	True	0.3333	3	Int J Dermatol	False	Association between genetic variants in NOD2, C13orf31, and CCDC122 genes and leprosy among the Chinese Yi population.
Q5VYY1	118932	ANKRD22	ankyrin repeat domain 22		39467212	2024	True	1.0	1	J Biochem Mol Toxicol	False	Knockdown of circ_0006225 overcomes resistance to cisplatin and suppresses growth in lung cancer by miR-1236-3p/ANKRD22 axis.
Q5VYY1	118932	ANKRD22	ankyrin repeat domain 22		34584137	2021	True	0.784	13	Sci Rep	True	ANKRD22 is an N-myristoylated hairpin-like monotopic membrane protein specifically localized to lipid droplets
Q5VYY1	118932	ANKRD22	ankyrin repeat domain 22		37586180	2023	True	0.6875	4	Tissue Cell	False	ANKRD22 knockdown suppresses papillary thyroid cell carcinoma growth and migration and modulates the Wnt/beta-catenin signaling pathway.
Q5VYY1	118932	ANKRD22	ankyrin repeat domain 22		38230786	2024	True	0.6296	9	Chem Biol Drug Des	False	ANKRD22 promotes M2 polarization in lung adenocarcinoma macrophages via the glycolytic pathway.
Q5VYY1	118932	ANKRD22	ankyrin repeat domain 22		31903135	2020	True	0.496	67	Theranostics	True	ANKRD22, a novel tumor microenvironment-induced mitochondrial protein promotes metabolic reprogramming of colorectal cancer cells
Q5VYY1	118932	ANKRD22	ankyrin repeat domain 22		37164633	2023	True	0.4375	3	J Neuropathol Exp Neurol	False	ANKRD22 promotes glioma proliferation, migration, invasion, and epithelial-mesenchymal transition by upregulating E2F1-mediated MELK expression.
Q5VYY1	118932	ANKRD22	ankyrin repeat domain 22		32651974	2021	True	0.4054	18	Bosn J Basic Med Sci	True	ANKRD22 enhances breast cancer cell malignancy by activating the Wnt/beta-catenin pathway via modulating NuSAP1 expression
Q5VYY1	118932	ANKRD22	ankyrin repeat domain 22		39891675	2025	True	0.3633	32	Cancer Immunol Immunother	True	ANKRD22 participates in the proinflammatory activities of macrophages in the colon cancer tumor microenvironment
Q5VYY1	118932	ANKRD22	ankyrin repeat domain 22		39487387	2024	False	0.4545	3	BMC Cancer	False	Integrated bulk and single-cell profiling characterize sphingolipid metabolism in pancreatic cancer.
Q5VYY1	118932	ANKRD22	ankyrin repeat domain 22		35958496	2022	False	0.4	3	Am J Transl Res	False	Classifying mild cognitive impairment and Alzheimer's disease by constructing a 14-gene diagnostic model.
Q5VYY1	118932	ANKRD22	ankyrin repeat domain 22		37164163	2023	False	0.3333	3	Prev Med	False	Identification of key genes in sepsis by WGCNA.
Q5VYY1	118932	ANKRD22	ankyrin repeat domain 22		39537402	2024	False	0.3333	3	Zhonghua Yu Fang Yi Xue Za Zhi	False	[The construction of a peripheral blood qualitative transcriptional signature for the diagnosis of active tuberculosis].
Q96LY2	91409	CCDC74B	coiled-coil domain containing 74B		31521166	2019	True	0.7453	16	BMC Biol	True	CCDC74A/B are K-fiber crosslinkers required for chromosomal alignment
Q5SZD1	135398	C6orf141	chromosome 6 open reading frame 141		30872783	2019	True	0.738	33	Sci Rep	True	Low C6orf141 Expression is Significantly Associated with a Poor Prognosis in Patients with Oral Cancer
Q5SZD1	135398	C6orf141	chromosome 6 open reading frame 141		30275877	2018	False	0.5	9	BMC Proc	True	Investigating potential causal relationships between SNPs, DNA methylation and HDL
Q9NQR7	56936	CCDC177	coiled-coil domain containing 177	C14orf162, PLPL	30846933	2019	False	0.88	3	Front Hum Neurosci	True	Acute but Not Permanent Effects of Propranolol on Fear Memory Expression in Humans
Q9NQR7	56936	CCDC177	coiled-coil domain containing 177	C14orf162, PLPL	32356177	2020	False	0.3333	3	J Cancer Res Clin Oncol	False	Genome-wide analysis of prognostic-related lncRNAs, miRNAs and mRNAs forming a competing endogenous RNA network in lung squamous cell carcinoma.
Q96T59	146822	CDRT15	CMT1A duplicated region transcript 15		37543771	2023	True	0.8788	8	Medicine (Baltimore)	True	Bioinformatic analysis the expression and clinical significance of CDRT15 in cholangiocarcinoma using TCGA database
Q6ZRT6	389151	PRR23B	proline rich 23B		34142482	2021	False	0.3333	3	Fa Yi Xue Za Zhi	False	DNA Methylation Differences in Peripheral Blood of Patients with Anaphylaxis.
Q5JUQ0	286336	FAM78A	family with sequence similarity 78 member A	C9orf59	31364504	2019	False	0.3333	3	Toxicol Ind Health	False	Sunscreen-induced expression and identification of photosensitive marker proteins in human keratinocytes under UV radiation.
Q9H1Q7	64773	PCED1A	PC-esterase domain containing 1A	C20orf81, FAM113A, bA12M19.1	39865523	2025	True	0.9412	2	J Gastroenterol Hepatol	False	Expression of PCED1A in Hepatocellular Carcinoma and Colorectal Cancer and Its Relationship with Immune Infiltration: Potential as a Diagnostic Marker.
Q96FV0	90506	LRRC46	leucine rich repeat containing 46		38874710	2024	True	0.7778	3	Sci China Life Sci	False	Identification of LRRC46 as a novel candidate gene for high myopia.
Q96FV0	90506	LRRC46	leucine rich repeat containing 46		31482151	2019	False	0.3333	3	Brainlesion	False	Multi-stage Association Analysis of Glioblastoma Gene Expressions with Texture and Spatial Patterns.
Q569K6	550631	CCDC157	coiled-coil domain containing 157		39276353	2024	False	0.4286	3	Cell Rep	False	Integrative identification of non-coding regulatory regions driving metastatic prostate cancer.
Q86UD1	220323	OAF	out at first homolog	NS5ATP13TP2	36699367	2022	True	0.3628	19	Bioinform Adv	True	OAF: a new member of the BRICHOS family
Q86UD1	220323	OAF	out at first homolog	NS5ATP13TP2	26600902	2015	False	0.5	2	Pan Afr Med J	True	Obesity among health service providers in Nigeria: danger to long term health worker retention?
Q86UD1	220323	OAF	out at first homolog	NS5ATP13TP2	25452872	2014	False	0.4286	2	BMJ Open Diabetes Res Care	True	Prevalence of dysglycemia in Calabar: a cross-sectional observational study among residents of Calabar, Nigeria
Q96G42	113730	KLHDC7B	kelch domain containing 7B		37888201	2023	True	1.0	1	Mol Carcinog	False	KLHDC7B as a novel diagnostic biomarker in urine exosomal mRNA promotes bladder urothelial carcinoma cell proliferation and migration, inhibits apoptosis.
Q96G42	113730	KLHDC7B	kelch domain containing 7B		33760214	2021	True	0.6	5	Oncol Rep	False	HPV E7 affects the function of cervical cancer cells via the TAL1/lnc-EBIC/KLHDC7B axis.
Q96G42	113730	KLHDC7B	kelch domain containing 7B		30648789	2019	True	0.5992	30	Mol Oncol	True	Expression of long non-coding RNA ENSG00000226738 (LncKLHDC7B) is enriched in the immunomodulatory triple-negative breast cancer subtype and its alteration promotes cell migration, invasion, and resistance to cell death
Q96G42	113730	KLHDC7B	kelch domain containing 7B		31452764	2019	True	0.5724	14	Oncol Lett	True	Characterization of Kelch domain-containing protein 7B in breast tumours and breast cancer cell lines
Q96G42	113730	KLHDC7B	kelch domain containing 7B		30150751	2018	True	0.4907	41	Sci Rep	True	A Kelch domain-containing KLHDC7B and a long non-coding RNA ST8SIA6-AS1 act oppositely on breast cancer cell proliferation via the interferon signaling pathway
Q96G42	113730	KLHDC7B	kelch domain containing 7B		33538300	2021	True	0.48	3	Clin Sci (Lond)	False	KLHDC7B-DT aggravates pancreatic ductal adenocarcinoma development via inducing cross-talk between cancer cells and macrophages.
Q96G42	113730	KLHDC7B	kelch domain containing 7B		25565867	2014	False	0.3438	23	Onco Targets Ther	True	The landscape of alternative splicing in cervical squamous cell carcinoma
Q9BZE7	84645	C22orf23	chromosome 22 open reading frame 23	EVG1, dJ1039K5.6	20073383	2010	False	1.0	1	Am J Health Promot	False	The use of exploratory factor analysis in public health: a note on parallel analysis as a factor retention criterion.
Q9BZE7	84645	C22orf23	chromosome 22 open reading frame 23	EVG1, dJ1039K5.6	29324778	2018	False	0.8889	2	PLoS One	True	Genetic diversity and recombination of enterovirus G strains in Japanese pigs: High prevalence of strains carrying a papain-like cysteine protease sequence in the enterovirus G population
Q9BZE7	84645	C22orf23	chromosome 22 open reading frame 23	EVG1, dJ1039K5.6	36246307	2022	False	0.3333	3	Front Vet Sci	True	Prevalence and phylogenetic analysis of human enteric emerging viruses in porcine stool samples in the Republic of Korea
Q9BZE7	84645	C22orf23	chromosome 22 open reading frame 23	EVG1, dJ1039K5.6	34576044	2021	False	0.3333	8	Int J Mol Sci	True	In Silico Study, Physicochemical, and In Vitro Lipase Inhibitory Activity of alpha,beta-Amyrenone Inclusion Complexes with Cyclodextrins
Q8IWF9	220047	CCDC83	coiled-coil domain containing 83	CT148, HSD9, KP-CoT-23	17633455	2007	True	1.0	1	Zhongguo Yi Xue Ke Xue Yuan Xue Bao	False	[Characteristics of a novel human testis-specific gene, HSD-9, and its encoding protein].
Q8IWF9	220047	CCDC83	coiled-coil domain containing 83	CT148, HSD9, KP-CoT-23	22923163	2012	True	1.0	1	Int J Oncol	False	KP-CoT-23 (CCDC83) is a novel immunogenic cancer/testis antigen in colon             cancer.
Q8IWF9	220047	CCDC83	coiled-coil domain containing 83	CT148, HSD9, KP-CoT-23	38476339	2024	False	0.5	2	Cardiol Res Pract	True	Challenges in Effective Referral of Cardiovascular Diseases in Nepal: A Qualitative Study from Health Workers' and Patients' Perspective
Q8IV56	222171	PRR15	proline rich 15		21061267	2011	True	0.4375	6	Mol Carcinog	False	Expression analysis of proline rich 15 (Prr15) in mouse and human gastrointestinal tumors.
Q8IV56	222171	PRR15	proline rich 15		39929816	2025	True	0.4357	36	Cell Death Dis	True	The expression and functional role of proline-rich 15 in non-small cell lung cancer
Q8IV56	222171	PRR15	proline rich 15		28380025	2017	True	0.3783	48	PLoS One	True	Effect of proline rich 15-deficiency on trophoblast viability and survival
Q8IV56	222171	PRR15	proline rich 15		36157240	2022	True	0.3524	27	J Oncol	True	PRR15 Is a Novel Diagnostic and Prognostic Biomarker in Papillary Thyroid Cancer and Modulates the Tumor Microenvironment
Q8IV56	222171	PRR15	proline rich 15		37387524	2023	False	0.5	3	Database (Oxford)	True	PETCH-DB: a Portal for Exploring Tissue-specific and Complex disease-associated 5-Hydroxymethylcytosines
Q8IV56	222171	PRR15	proline rich 15		34316393	2021	False	0.4444	53	PeerJ	True	LncRNA AC007255.1, an immune-related prognostic enhancer RNA in esophageal cancer
Q8IV56	222171	PRR15	proline rich 15		37072408	2023	False	0.416	45	Cell Death Dis	True	PRR15 deficiency facilitates malignant progression by mediating PI3K/Akt signaling and predicts clinical prognosis in triple-negative rather than non-triple-negative breast cancer
Q9UHA2	51188	SS18L2	SS18 like 2	KIAA-iso	35973998	2022	False	0.3016	41	Cell Death Dis	True	EPIKOL, a chromatin-focused CRISPR/Cas9-based screening platform, to identify cancer-specific epigenetic vulnerabilities
Q8NA23	114987	WDR31	WD repeat domain 31		37208194	2023	True	0.3711	52	Life Sci Alliance	True	WDR31 displays functional redundancy with GTPase-activating proteins (GAPs) ELMOD and RP2 in regulating IFT complex and recruiting the BBSome to cilium
C9J7I0	729852	UMAD1 {ECO:0000312|HGNC:HGNC:48955}	UBAP1-MVB12-associated (UMA) domain containing 1	RPA3-AS1, RPA3OS	38854416	2024	True	0.3413	4	Rheumatol Adv Pract	True	 RPA3-UMAD1 rs12702634 and rheumatoid arthritis-associated interstitial lung disease in European ancestry
C9J7I0	729852	UMAD1 {ECO:0000312|HGNC:HGNC:48955}	UBAP1-MVB12-associated (UMA) domain containing 1	RPA3-AS1, RPA3OS	35450030	2022	True	0.3103	7	Biomark Insights	True	Lack of Association of rs12702634 in RPA3-UMAD1 With Interstitial Lung Diseases in Japanese Rheumatoid Arthritis Patients
C9J7I0	729852	UMAD1 {ECO:0000312|HGNC:HGNC:48955}	UBAP1-MVB12-associated (UMA) domain containing 1	RPA3-AS1, RPA3OS	33042427	2020	True	0.3077	3	Am J Transl Res	False	The combination of circRNA-UMAD1 and Galectin-3 in peripheral circulation is a co-biomarker for predicting lymph node metastasis of thyroid carcinoma.
P58505	54058	C21orf58	chromosome 21 open reading frame 58		38342622	2024	True	0.436	12	Adv Sci (Weinh)	True	Targeting C21orf58 is a Novel Treatment Strategy of Hepatocellular Carcinoma by Disrupting the Formation of JAK2/C21orf58/STAT3 Complex
P58505	54058	C21orf58	chromosome 21 open reading frame 58		21094583	2011	False	0.4	2	Cancer Lett	False	Isolation and characterization of human lung cancer antigens by serological screening with autologous antibodies.
O95424	28955	DEXI	Dexi homolog	MYLE	39940946	2025	True	0.625	2	Int J Mol Sci	False	Is DEXI a Multiple Sclerosis Susceptibility Gene?
O95424	28955	DEXI	Dexi homolog	MYLE	30478640	2019	True	0.5714	7	Diabetologia	False	DEXI, a candidate gene for type 1 diabetes, modulates rat and human pancreatic beta cell inflammation via regulation of the type I IFN/STAT signalling pathway.
O95424	28955	DEXI	Dexi homolog	MYLE	31570815	2020	True	0.5	2	Genes Immun	False	Clarifying the function of genes at the chromosome 16p13 locus in type 1 diabetes: CLEC16A and DEXI.
O95424	28955	DEXI	Dexi homolog	MYLE	21989056	2012	True	0.449	15	Hum Mol Genet	True	Long-range DNA looping and gene expression analyses identify DEXI as an autoimmune disease candidate gene
O95424	28955	DEXI	Dexi homolog	MYLE	21901246	2012	False	1.0	1	Int J Oncol	False	Identification of a potent epigenetic biomarker for resistance to camptothecin             and poor outcome to irinotecan-based chemotherapy in colon cancer.
O95424	28955	DEXI	Dexi homolog	MYLE	25008175	2014	False	0.3981	11	Diabetes	True	Fine Mapping and Functional Studies of Risk Variants for Type 1 Diabetes at Chromosome 16p13.13
A6NI87	646019	CBY3	chibby family member 3		38381149	2024	False	0.5	2	J Cell Biol	False	Centriolar appendages evolve into the inner sheath of mammalian flagella.
Q5T953	389792	IER5L	immediate early response 5 like	bA247A12.2	38552564	2024	True	0.75	7	Pathol Res Pract	False	Predictive value of immediate early response 5 like (IER5L) in the prognosis and immune checkpoint blockade therapy of non-small cell lung cancer patients.
Q5T953	389792	IER5L	immediate early response 5 like	bA247A12.2	39025841	2024	True	0.3797	28	Cell Death Dis	True	The PP2A regulator IER5L supports prostate cancer progression
Q5T953	389792	IER5L	immediate early response 5 like	bA247A12.2	39793853	2025	False	0.3333	3	Life Sci	False	Combined analysis of bulk, single-cell RNA sequencing, and spatial transcriptomics reveals the expression patterns of lipid metabolism and ferroptosis in the immune microenvironment of metabolic-associated fatty liver disease.
A6NGS2	100170765	ERICH4	glutamate rich 4	C19orf69	39492093	2024	True	0.7857	2	Atherosclerosis	False	ERICH4 is not involved in the assembly and secretion of intestinal lipoproteins.
Q7Z6I5	353324	SPATA12	spermatogenesis associated 12	SRG5	17251597	2007	True	1.0	1	J Androl	False	Expression and possible functions of a novel gene SPATA12 in human testis.
